module,book section,category folder,required asset class,required data feeds,status,implementation dependency,may-enter-daily-score
distressed_assets/distress_risk_puzzle.py,15.3,distressed_assets,distressed debt / special situations,debt prices and capital structure; filings; restructuring/legal and recovery data,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
distressed_assets/distress_risk_puzzle_risk_management.py,15.3.1,distressed_assets,distressed debt / special situations,debt prices and capital structure; filings; restructuring/legal and recovery data,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
distressed_assets/loan_to_own.py,15.2.3,distressed_assets,distressed debt / special situations,debt prices and capital structure; filings; restructuring/legal and recovery data,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
distressed_assets/planning_a_reorganization.py,15.2.1,distressed_assets,distressed debt / special situations,debt prices and capital structure; filings; restructuring/legal and recovery data,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
etfs/alpha_rotation.py,4.2,etfs,exchange-traded funds,ETF adjusted OHLCV/total returns; benchmark/cash series; holdings/exposures where required,proxy-only,"Add an NSE ETF universe/adjusted-OHLCV adapter, total-return handling and liquidity filters; map the book exposure to liquid NSE ETFs.",no
etfs/dual_momentum_sector_rotation.py,4.1.2,etfs,exchange-traded funds,ETF adjusted OHLCV/total returns; benchmark/cash series; holdings/exposures where required,proxy-only,"Add an NSE ETF universe/adjusted-OHLCV adapter, total-return handling and liquidity filters; map the book exposure to liquid NSE ETFs.",no
etfs/leveraged_etfs_letfs.py,4.5,etfs,exchange-traded funds,ETF adjusted OHLCV/total returns; benchmark/cash series; holdings/exposures where required,proxy-only,"Add an NSE ETF universe/adjusted-OHLCV adapter, total-return handling and liquidity filters; map the book exposure to liquid NSE ETFs.",no
etfs/mean_reversion.py,4.4,etfs,exchange-traded funds,ETF adjusted OHLCV/total returns; benchmark/cash series; holdings/exposures where required,proxy-only,"Add an NSE ETF universe/adjusted-OHLCV adapter, total-return handling and liquidity filters; map the book exposure to liquid NSE ETFs.",no
etfs/multi_asset_trend_following.py,4.6,etfs,exchange-traded funds,ETF adjusted OHLCV/total returns; benchmark/cash series; holdings/exposures where required,proxy-only,"Add an NSE ETF universe/adjusted-OHLCV adapter, total-return handling and liquidity filters; map the book exposure to liquid NSE ETFs.",no
etfs/r_squared.py,4.3,etfs,exchange-traded funds,ETF adjusted OHLCV/total returns; benchmark/cash series; holdings/exposures where required,proxy-only,"Add an NSE ETF universe/adjusted-OHLCV adapter, total-return handling and liquidity filters; map the book exposure to liquid NSE ETFs.",no
etfs/sector_momentum_rotation.py,4.1,etfs,exchange-traded funds,ETF adjusted OHLCV/total returns; benchmark/cash series; holdings/exposures where required,proxy-only,"Add an NSE ETF universe/adjusted-OHLCV adapter, total-return handling and liquidity filters; map the book exposure to liquid NSE ETFs.",no
etfs/sector_momentum_rotation_with_ma_filter.py,4.1.1,etfs,exchange-traded funds,ETF adjusted OHLCV/total returns; benchmark/cash series; holdings/exposures where required,proxy-only,"Add an NSE ETF universe/adjusted-OHLCV adapter, total-return handling and liquidity filters; map the book exposure to liquid NSE ETFs.",no
fixed_income/barbells.py,5.3,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/bond_immunization.py,5.5,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/bullets.py,5.2,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/carry_factor.py,5.11,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/cds_basis_arbitrage.py,5.14,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
fixed_income/dollar_duration_neutral_butterfly.py,5.6,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/fifty_fifty_butterfly.py,5.7,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/ladders.py,5.4,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/low_risk_factor.py,5.9,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/maturity_weighted_butterfly.py,5.8.1,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/regression_weighted_butterfly.py,5.8,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/rolling_down_the_yield_curve.py,5.12,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/swap_spread_arbitrage.py,5.15,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
fixed_income/value_factor.py,5.10,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
fixed_income/yield_curve_spread_flatteners_and_steepeners.py,5.13,fixed_income,"bonds, rates and credit derivatives",bond prices/yields; curves and duration; funding; CDS/swaps where required,proxy-only,"Map maturity/credit sleeves to liquid NSE debt ETFs; add adjusted-OHLCV, duration/benchmark metadata, liquidity filters and portfolio construction.",no
futures/calendar_spread.py,10.2,futures,futures and their underlyings,futures OHLCV and curves; contract/roll metadata; underlying/cash series,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
futures/contrarian_trading_market_activity.py,10.3.1,futures,futures and their underlyings,futures OHLCV and curves; contract/roll metadata; underlying/cash series,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
futures/contrarian_trading_mean_reversion.py,10.3,futures,futures and their underlyings,futures OHLCV and curves; contract/roll metadata; underlying/cash series,proxy-only,"Replace futures exposure with liquid NSE index/commodity ETFs; add adjusted-OHLCV, liquidity filters and calibrate the proxy signal.",no
futures/cross_hedging.py,10.1.1,futures,futures and their underlyings,futures OHLCV and curves; contract/roll metadata; underlying/cash series,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
futures/hedging_risk_with_futures.py,10.1,futures,futures and their underlyings,futures OHLCV and curves; contract/roll metadata; underlying/cash series,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
futures/interest_rate_risk_hedging.py,10.1.2,futures,futures and their underlyings,futures OHLCV and curves; contract/roll metadata; underlying/cash series,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
futures/trend_following_momentum.py,10.4,futures,futures and their underlyings,futures OHLCV and curves; contract/roll metadata; underlying/cash series,proxy-only,"Replace futures exposure with liquid NSE index/commodity ETFs; add adjusted-OHLCV, liquidity filters and calibrate the proxy signal.",no
fx/carry_trade.py,8.2,fx,foreign exchange,FX spot/forward rates; interest-rate differentials; intraday quotes where required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
fx/dollar_carry_trade.py,8.3,fx,foreign exchange,FX spot/forward rates; interest-rate differentials; intraday quotes where required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
fx/fx_triangular_arbitrage.py,8.5,fx,foreign exchange,FX spot/forward rates; interest-rate differentials; intraday quotes where required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
fx/high_minus_low_carry.py,8.2.1,fx,foreign exchange,FX spot/forward rates; interest-rate differentials; intraday quotes where required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
fx/momentum_and_carry_combo.py,8.4,fx,foreign exchange,FX spot/forward rates; interest-rate differentials; intraday quotes where required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
fx/moving_averages_with_hp_filter.py,8.1,fx,foreign exchange,FX spot/forward rates; interest-rate differentials; intraday quotes where required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
global_macro/fundamental_macro_momentum.py,19.2,global_macro,multi-asset macro instruments,macro releases and calendars; rates/inflation; multi-asset total returns,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
global_macro/global_fixed_income_strategy.py,19.4,global_macro,multi-asset macro instruments,macro releases and calendars; rates/inflation; multi-asset total returns,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
global_macro/global_macro_inflation_hedge.py,19.3,global_macro,multi-asset macro instruments,macro releases and calendars; rates/inflation; multi-asset total returns,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
global_macro/trading_on_economic_announcements.py,19.5,global_macro,multi-asset macro instruments,macro releases and calendars; rates/inflation; multi-asset total returns,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
indexes/cash_and_carry_arbitrage.py,6.2,indexes,"equity indexes, constituents and derivatives",index/constituent and ETF prices; weights; futures/options; rates/costs as required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
indexes/dispersion_trading_in_equity_indexes.py,6.3,indexes,"equity indexes, constituents and derivatives",index/constituent and ETF prices; weights; futures/options; rates/costs as required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
indexes/dispersion_trading_subset_portfolio.py,6.3.1,indexes,"equity indexes, constituents and derivatives",index/constituent and ETF prices; weights; futures/options; rates/costs as required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
indexes/index_volatility_targeting_with_risk_free_asset.py,6.5,indexes,"equity indexes, constituents and derivatives",index/constituent and ETF prices; weights; futures/options; rates/costs as required,proxy-only,"Use a liquid NSE index ETF plus a cash/debt ETF; add adjusted-OHLCV, volatility targeting and rebalance logic.",no
indexes/intraday_arbitrage_between_index_etfs.py,6.4,indexes,"equity indexes, constituents and derivatives",index/constituent and ETF prices; weights; futures/options; rates/costs as required,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
miscellaneous_assets/energy_spark_spread.py,14.4,miscellaneous_assets,"inflation, energy or weather derivatives",inflation swaps/TIPS; power/fuel; weather and demand data as applicable,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
miscellaneous_assets/inflation_hedging_inflation_swaps.py,14.1,miscellaneous_assets,"inflation, energy or weather derivatives",inflation swaps/TIPS; power/fuel; weather and demand data as applicable,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
miscellaneous_assets/tips_treasury_arbitrage.py,14.2,miscellaneous_assets,"inflation, energy or weather derivatives",inflation swaps/TIPS; power/fuel; weather and demand data as applicable,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
miscellaneous_assets/weather_risk_demand_hedging.py,14.3,miscellaneous_assets,"inflation, energy or weather derivatives",inflation swaps/TIPS; power/fuel; weather and demand data as applicable,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bear_call_ladder.py,2.16,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bear_call_spread.py,2.8,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bear_put_ladder.py,2.17,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bear_put_spread.py,2.9,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bearish_long_seagull_spread.py,2.55,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bearish_short_seagull_spread.py,2.56,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bull_call_ladder.py,2.14,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bull_call_spread.py,2.6,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bull_put_ladder.py,2.15,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bull_put_spread.py,2.7,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bullish_long_seagull_spread.py,2.57,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/bullish_short_seagull_spread.py,2.54,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/calendar_call_spread.py,2.18,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/calendar_put_spread.py,2.19,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/call_ratio_backspread.py,2.36,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/collar.py,2.53,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/covered_call.py,2.2,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/covered_put.py,2.3,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/covered_short_straddle.py,2.32,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/covered_short_strangle.py,2.33,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/diagonal_call_spread.py,2.20,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/diagonal_put_spread.py,2.21,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/long_box.py,2.52,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/long_call_butterfly.py,2.40,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/long_call_condor.py,2.46,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/long_call_synthetic_straddle.py,2.28,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
options/long_combo.py,2.12,options,listed equity/index options and underlyings,full option chain by strike/expiry; underlying; rates/dividends; contract metadata and Greeks,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
